	control_early_01	control_early_02	control_early_03	control_embryo_01	control_embryo_02	control_embryo_03	control_late_01	control_late_02	control_late_03	treatment_early_01	treatment_early_02	treatment_early_03	treatment_embryo_01	treatment_embryo_02	treatment_embryo_03	treatment_late_01	treatment_late_02	treatment_late_03
JGI_V11_313929	2.228347	7.85631	4.41305	2.330524	2.13196	2.265501	0.0	26.986703	4.631068	16.634697	24.484918	15.874044	2.424801	0.0	16.731798	0.0	11.018617	10.001598
JGI_V11_313938	4.456693	13.09385	2.206525	4.661048	25.583515	11.327506	15.081498	37.366204	64.834956	30.89301	22.259017	13.606324	14.548804	14.670377	48.10392	25.976456	24.791888	30.004793
JGI_V11_313948	0.0	0.0	4.41305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.500399
JGI_V11_313959	4.456693	7.85631	8.8261	0.0	0.0	2.265501	12.567915	0.0	0.0	38.022166	8.903607	9.070883	0.0	0.0	0.0	2.361496	2.754654	0.0
JGI_V11_313962	2.228347	20.95016	6.619575	0.0	17.055677	9.062005	17.595081	0.0	4.631068	4.752771	2.225902	4.535441	7.274402	9.780252	14.640323	9.445984	5.509308	5.000799
JGI_V11_313963	2.228347	28.80647	6.619575	2.330524	2.13196	9.062005	5.027166	4.1518	9.262137	0.0	4.451803	9.070883	4.849601	2.445063	10.457374	2.361496	8.263963	0.0
JGI_V11_313964	24.511812	31.42524	26.478301	4.661048	23.451555	74.761538	15.081498	6.227701	4.631068	2.376385	20.033115	31.748089	41.221613	66.016698	31.372121	16.530472	30.301196	12.501997
JGI_V11_313968	4.456693	10.47508	4.41305	2.330524	8.527838	9.062005	2.513583	11.466139	6.946602	19.011083	8.903607	9.070883	2.424801	17.11544	23.006222	0.0	5.509308	5.000799
JGI_V11_313994	17.826773	47.13786	24.271776	51.271533	136.445413	90.620046	72.893909	112.098612	67.15049	95.055414	55.647541	43.086692	104.266432	61.126573	117.122587	44.868423	44.074467	32.505192
JGI_V11_313997	256.259858	652.073728	236.098186	2.330524	31.979394	20.38951	253.871889	49.821605	48.626217	836.487644	612.122955	551.056112	9.699203	7.335189	20.914748	23.61496	66.111701	25.003994
JGI_V11_313999	0.0	4.458421	3.217779	0.0	0.0	0.0	2.513583	0.0	0.389163	0.0	0.0	0.0	0.0	0.0	2.091475	2.361496	0.0	0.0
JGI_V11_314000	2.228347	28.80647	0.0	0.0	4.263919	6.796503	20.108664	2.0759	0.0	9.505541	2.225902	9.070883	4.849601	17.11544	8.365899	2.361496	19.282579	5.000799
JGI_V11_314003	26.740159	60.23171	17.652201	16.31367	31.979394	36.248018	12.567915	58.125206	41.679614	40.398551	62.325246	34.015809	31.52241	75.79695	43.92097	30.699448	38.565159	17.502796
JGI_V11_314004	0.0	18.33139	6.619575	0.0	0.0	4.531002	2.513583	2.0759	11.577671	9.505541	4.451803	4.535441	4.849601	12.225315	4.18295	7.084488	2.754654	7.501198
JGI_V11_314008	2.228347	0.0	2.206525	0.0	4.263919	15.858508	10.054332	14.531302	16.208739	14.258312	0.0	9.070883	7.274402	2.445063	4.18295	2.361496	2.754654	2.500399
JGI_V11_314015	22.283466	7.85631	13.239151	2.330524	53.298989	72.496037	17.595081	8.303601	6.946602	4.752771	4.451803	15.874044	41.221613	144.258711	106.665213	18.891968	2.754654	0.0
JGI_V11_314020	0.0	0.0	0.0	0.0	4.263919	2.265501	2.513583	0.0	0.0	0.0	0.0	4.535441	0.0	2.445063	4.18295	0.0	0.0	2.500399
JGI_V11_314029	0.0	10.47508	0.0	0.0	2.13196	2.265501	0.0	0.0	4.631068	7.129156	0.0	11.338603	0.0	2.445063	6.274424	0.0	5.509308	0.0
JGI_V11_314049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_314056	142.614182	230.451759	44.130502	46.610485	157.765008	181.240092	366.983126	228.349025	231.553413	834.111258	411.791806	142.866399	118.815236	127.143271	121.305536	85.013855	44.074467	35.005591
JGI_V11_314057	0.0	0.0	0.0	0.0	12.791757	4.531002	0.0	6.227701	13.893205	0.0	4.451803	0.0	7.274402	2.445063	2.091475	2.361496	0.0	0.0
JGI_V11_314058	0.0	0.0	0.0	0.0	4.263919	2.265501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_314059	2.228347	0.0	0.0	0.0	6.395879	4.531002	15.081498	0.0	4.631068	30.89301	20.033115	6.803162	2.424801	0.0	0.0	0.0	0.0	0.0
JGI_V11_314077	2.228347	0.0	6.619575	2.330524	8.527838	4.531002	2.513583	4.1518	14.827679	0.0	6.677705	2.451211	2.424801	23.73818	18.823273	9.445984	5.509308	2.500399
JGI_V11_314078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.500399
JGI_V11_314079	10.161082	21.411344	5.83592	0.0	25.029449	28.140546	12.723018	27.653366	9.442875	10.014033	38.71987	18.962152	14.831061	25.160339	41.837233	18.155995	20.136457	20.083661
JGI_V11_314084	4.456693	7.85631	4.41305	0.0	0.0	0.0	7.540749	2.0759	0.0	0.0	6.677705	13.606324	0.0	0.0	2.091475	2.361496	0.0	0.0
JGI_V11_314088	181.445481	480.198991	177.358108	92.160648	226.090856	239.39583	222.945457	302.271241	290.278863	301.804663	254.971918	296.146249	220.215693	355.300205	276.713061	210.791648	223.985949	62.378616
JGI_V11_314090	229.519699	434.715819	187.554634	60.59363	179.084604	228.815616	246.33114	199.286422	210.713606	403.98551	235.945575	267.591034	126.089638	217.610599	271.891719	122.797791	181.807177	55.008787
JGI_V11_314098	5.611153	23.56893	2.837018	4.661048	6.51101	5.646502	0.0	10.541867	2.315534	7.129156	0.0	2.295353	0.0	5.942386	7.304587	5.602698	5.509308	0.0
JGI_V11_314099	4.412515	0.0	3.080714	0.0	0.0	5.527347	0.0	2.909187	0.0	0.0	4.53227	0.0	2.424801	6.781198	0.0	0.0	0.0	0.428957
JGI_V11_314109	0.0	5.23754	0.0	2.330524	2.13196	15.858508	0.0	2.0759	0.0	9.505541	0.0	2.267721	7.274402	2.445063	8.365899	4.722992	0.0	0.0
JGI_V11_314111	42.338585	81.18187	39.717452	6.991573	70.354666	74.761538	35.190163	4.1518	13.893205	14.258312	33.388525	40.818971	55.770417	78.242013	77.384566	7.084488	38.565159	15.002396
JGI_V11_314112	0.0	0.0	2.206525	0.0	6.395879	2.265501	2.513583	0.0	0.0	0.0	0.0	0.0	4.849601	4.890126	10.457374	0.0	0.0	5.000799
JGI_V11_314113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_314121	13.37008	49.75663	19.858726	6.991573	31.979394	70.230536	25.135831	33.214404	23.155341	54.656863	31.162623	31.748089	21.823207	53.791384	50.195394	21.253464	71.621009	22.503595
JGI_V11_314132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_314139	314.196869	576.129399	244.924286	235.382948	560.705367	838.235424	321.738631	558.417161	490.893236	596.472723	402.8882	424.063757	623.17379	792.200381	870.053501	368.393372	432.48071	175.027957
JGI_V11_314153	77.992131	96.89449	39.717452	102.543066	321.925895	536.923772	67.866743	211.741823	189.873799	133.07758	133.554099	86.173384	320.073698	300.742737	397.380205	70.844879	96.412897	55.008787
